,Thr1,Thr2,Thr3,Begin,meanRadius,nMipCluster,first5LayersRMS,Density,NClusters,ratioThr23,Zbary,Zrms,PctHitsFirst10,AvgClustSize,MaxClustSize,lambda1,lambda2,tMin,tMax,tMean,tSpread,Nmax,Xmax,eccentricity3D,transverseRatio,nTrack
Thr1,1.0,-0.47956364890598147,-0.7795188394481705,0.2358094985024585,0.10340651787775451,-0.23742500973441633,-0.06602437900262342,-0.755292341917653,-0.260834967997166,-0.9953164062502989,-0.12638187929560443,0.09412993361806143,0.1728423576196564,-0.75129379486647,-0.5897491831528336,0.2639873101020023,0.012185302810205386,-0.005650641004391912,-0.21925345177388192,0.07761468992322618,-0.2192490083217034,-0.4928610089201747,-0.09037755143798204,-0.1307755919552921,0.05759914833477781,-0.00978396209044034
Thr2,-0.47956364890598147,1.0,-0.1758229283484622,-0.09099608940252034,0.12817242842640525,0.09202605147755201,0.05054775377566648,-0.07774458019917942,0.09556646382408814,0.4630795913267027,-0.01419256657140829,-0.016146599646565358,0.008466217915262572,-0.06299472141664039,0.01656927227344027,0.05959293972872797,0.11585781436498295,0.004669676942951866,0.08710834209055715,0.0496961314918956,0.0871054854111171,0.028999655038243033,0.0035784196590352936,0.09301510196309933,0.0619853338146062,0.046007250687284645
Thr3,-0.7795188394481705,-0.1758229283484622,1.0,-0.19958584368248797,-0.20749703066329134,0.20066298869637797,0.03798692751102863,0.9028118545530346,0.2243979926360635,0.7860311873100485,0.15191102597771874,-0.09407293573269784,-0.19994465012385004,0.8877974390655169,0.6497763062026378,-0.3386896997992426,-0.09637112992705381,0.0030058186867503024,0.1837877611163671,-0.12254510200803335,0.18378481542203395,0.5322103522797473,0.09883474354779921,0.0803134916955443,-0.10886311579820485,-0.02186468625816459
Begin,0.2358094985024585,-0.09099608940252034,-0.19958584368248797,1.0,-0.3889288274485496,-0.3553816250016359,-0.4437744583610923,-0.2904970942965586,-0.36018475744229816,-0.2076167305576735,0.4862394803174876,-0.04983792223499976,-0.27123973319125405,-0.2034248116257242,-0.2624000784185897,-0.12959680471171764,-0.3766540409169862,-0.01855099191391469,-0.3012970353922143,0.02183931245529596,-0.30128245588373914,-0.4146021577468964,0.07631383896226157,-0.26508882149906543,-0.12387774512130338,-0.23650862227746938
meanRadius,0.10340651787775451,0.12817242842640525,-0.20749703066329134,-0.3889288274485496,1.0,0.4714255748283751,0.2731971430352541,-0.10440512155346571,0.4417381511390796,-0.13272751930396437,-0.16398442602258864,0.01484569812620734,0.02803439908663765,-0.2254630110592013,0.15666595572834338,0.7771454519089264,0.8089232442572281,0.005416435406698944,0.35502116904560144,0.20890719829603338,0.3550175726374305,0.2556292488816108,0.037515379728413845,0.46817127282120724,0.4153882568058233,0.4105668493961088
nMipCluster,-0.23742500973441633,0.09202605147755201,0.20066298869637797,-0.3553816250016359,0.4714255748283751,1.0,0.26250449705682366,0.409176392525661,0.9911506220079901,0.21144435000485573,0.2149528172014423,0.3756854138373054,-0.3312670400448198,0.22822641990560893,0.6828355288925679,0.0982797404790404,0.5934291437845647,0.003730420086958555,0.5558681953490574,0.06698259934471444,0.5558657211333208,0.7047752864472536,0.23586653654942238,0.13713866492534696,-0.1891547876098312,0.7291428490956477
first5LayersRMS,-0.06602437900262342,0.05054775377566648,0.03798692751102863,-0.4437744583610923,0.2731971430352541,0.26250449705682366,1.0,0.08957091222647792,0.25662878702571407,0.05780974193364709,-0.42031689216583207,0.06848267698151195,0.39021861206275543,0.04117827103877067,0.18391894921187654,0.15984075368245657,0.2936234768665808,0.02860756733941123,0.17860961576174839,0.02896538352655606,0.17858773180517712,0.25459398923600135,-0.26550463879822206,0.16334091687188476,0.09454482093589058,0.12938301106318703
Density,-0.755292341917653,-0.07774458019917942,0.9028118545530346,-0.2904970942965586,-0.10440512155346571,0.409176392525661,0.08957091222647792,1.0,0.43199692971690695,0.7491704238303886,0.21530230789487087,-0.019062953438182633,-0.2816264700055735,0.8987123420799668,0.7861860722549736,-0.3340645240194962,0.03704062300046205,-0.005588544459940566,0.3234131193216129,-0.10794716005360006,0.3234172081993973,0.6560936799132193,0.1438600899350919,0.13394371299783117,-0.14343079446427962,0.14316799413907355
NClusters,-0.260834967997166,0.09556646382408814,0.2243979926360635,-0.36018475744229816,0.4417381511390796,0.9911506220079901,0.25662878702571407,0.43199692971690695,1.0,0.23466458505191046,0.23348319356985806,0.37963513382832764,-0.34139935020576895,0.26723498288354497,0.6852422657183427,0.06703043264405456,0.5692485427235034,0.003386568212673381,0.5608046604004004,0.06272270229883396,0.5608023178016449,0.7035206301200007,0.24778533651968135,0.12131925282150202,-0.20621874383433592,0.691905694468621
ratioThr23,-0.9953164062502989,0.4630795913267027,0.7860311873100485,-0.2076167305576735,-0.13272751930396437,0.21144435000485573,0.05780974193364709,0.7491704238303886,0.23466458505191046,1.0,0.11772574513183312,-0.11023796302066084,-0.15914637337177917,0.7608970895311049,0.5835757480035548,-0.27519088087128485,-0.04051229772172884,0.006998401162397258,0.19773760114528707,-0.08019145133912073,0.19773211157830287,0.48509488924407507,0.0815847628795642,0.11944479200385164,-0.05807102666911219,-0.013629045943646589
Zbary,-0.12638187929560443,-0.01419256657140829,0.15191102597771874,0.4862394803174876,-0.16398442602258864,0.2149528172014423,-0.42031689216583207,0.21530230789487087,0.23348319356985806,0.11772574513183312,1.0,0.39739146070854775,-0.8175903926992308,0.1799037144082204,0.17792550244157232,-0.2204685793823434,-0.06063951730239099,-0.035235857961203,0.13007455388322428,0.012518090119323666,0.13010230435602796,-0.06078992751301106,0.4262163416744855,-0.2890305846190158,-0.42696076368750824,0.15118953954585426
Zrms,0.09412993361806143,-0.016146599646565358,-0.09407293573269784,-0.04983792223499976,0.01484569812620734,0.3756854138373054,0.06848267698151195,-0.019062953438182633,0.37963513382832764,-0.11023796302066084,0.39739146070854775,1.0,-0.29239696777489893,-0.11428345451880448,0.045558819737588706,0.005231882838589554,0.1341994077888834,4.828092924341404e-05,0.16542212128282913,-0.004429079868564597,0.1654224850555995,0.020636445633522054,0.03783954518515391,-0.5993649480004333,-0.6892925716411396,0.31268324246497364
PctHitsFirst10,0.1728423576196564,0.008466217915262572,-0.19994465012385004,-0.27123973319125405,0.02803439908663765,-0.3312670400448198,0.39021861206275543,-0.2816264700055735,-0.34139935020576895,-0.15914637337177917,-0.8175903926992308,-0.29239696777489893,1.0,-0.2156442530102556,-0.2734943491261821,0.1613163410164009,-0.07098741678554715,0.042611411724922346,-0.23069513201319555,-0.021803875351527925,-0.23072873553717077,-0.16868485076680784,-0.620328663529878,0.12963892782648076,0.3426997577415785,-0.2842353622842737
AvgClustSize,-0.75129379486647,-0.06299472141664039,0.8877974390655169,-0.2034248116257242,-0.2254630110592013,0.22822641990560893,0.04117827103877067,0.8987123420799668,0.26723498288354497,0.7608970895311049,0.1799037144082204,-0.11428345451880448,-0.2156442530102556,1.0,0.7018479454743236,-0.37728142066601456,-0.10193400550313472,-0.004491159431975445,0.21080197153690886,-0.12228098244746907,0.2108049479833228,0.559238610984514,0.12653995187110972,0.09804319455153071,-0.11701770944242927,-0.04709910972838351
MaxClustSize,-0.5897491831528336,0.01656927227344027,0.6497763062026378,-0.2624000784185897,0.15666595572834338,0.6828355288925679,0.18391894921187654,0.7861860722549736,0.6852422657183427,0.5835757480035548,0.17792550244157232,0.045558819737588706,-0.2734943491261821,0.7018479454743236,1.0,-0.14915740484723444,0.28373081683039253,-0.00011981366133859555,0.4400393098586845,-0.026818386417135052,0.4400391220782359,0.8426826300754516,0.14609867194042805,0.2325152545265881,-0.09223359727625534,0.37453969249741026
lambda1,0.2639873101020023,0.05959293972872797,-0.3386896997992426,-0.12959680471171764,0.7771454519089264,0.0982797404790404,0.15984075368245657,-0.3340645240194962,0.06703043264405456,-0.27519088087128485,-0.2204685793823434,0.005231882838589554,0.1613163410164009,-0.37728142066601456,-0.14915740484723444,1.0,0.47748921321604976,0.013363567573223644,0.07965891534651302,0.17895803644044567,0.07964881256228853,-0.05123988503155211,-0.07369574496817473,0.1833365435373984,0.381683466303764,0.15515211805669918
lambda2,0.012185302810205386,0.11585781436498295,-0.09637112992705381,-0.3766540409169862,0.8089232442572281,0.5934291437845647,0.2936234768665808,0.03704062300046205,0.5692485427235034,-0.04051229772172884,-0.06063951730239099,0.1341994077888834,-0.07098741678554715,-0.10193400550313472,0.28373081683039253,0.47748921321604976,1.0,0.006996154380012006,0.42864038761940026,0.18755866351640332,0.42863575904079726,0.36094051404309846,0.08090070903608312,0.5512530889108056,0.23840853267509848,0.45456910606639306
tMin,-0.005650641004391912,0.004669676942951866,0.0030058186867503024,-0.01855099191391469,0.005416435406698944,0.003730420086958555,0.02860756733941123,-0.005588544459940566,0.003386568212673381,0.006998401162397258,-0.035235857961203,4.828092924341404e-05,0.042611411724922346,-0.004491159431975445,-0.00011981366133859555,0.013363567573223644,0.006996154380012006,1.0,0.0013327647581238408,0.03446598371307039,0.0006932298782875137,0.004338035053052245,-0.030057642353835793,0.0019124507907708,0.0028767877819123227,-0.001686458226772508
tMax,-0.21925345177388192,0.08710834209055715,0.1837877611163671,-0.3012970353922143,0.35502116904560144,0.5558681953490574,0.17860961576174839,0.3234131193216129,0.5608046604004004,0.19773760114528707,0.13007455388322428,0.16542212128282913,-0.23069513201319555,0.21080197153690886,0.4400393098586845,0.07965891534651302,0.42864038761940026,0.0013327647581238408,1.0,0.4219035223858214,0.9999997511254761,0.441165650102159,0.17394846554984372,0.20727033219769944,-0.03884117798082483,0.35254445500009784
tMean,0.07761468992322618,0.0496961314918956,-0.12254510200803335,0.02183931245529596,0.20890719829603338,0.06698259934471444,0.02896538352655606,-0.10794716005360006,0.06272270229883396,-0.08019145133912073,0.012518090119323666,-0.004429079868564597,-0.021803875351527925,-0.12228098244746907,-0.026818386417135052,0.17895803644044567,0.18755866351640332,0.03446598371307039,0.4219035223858214,1.0,0.42187703032413537,-0.013807141698860432,0.024665934895142544,0.10931766628141665,0.10213712127522812,0.046887793240351396
tSpread,-0.2192490083217034,0.0871054854111171,0.18378481542203395,-0.30128245588373914,0.3550175726374305,0.5558657211333208,0.17858773180517712,0.3234172081993973,0.5608023178016449,0.19773211157830287,0.13010230435602796,0.1654224850555995,-0.23072873553717077,0.2108049479833228,0.4400391220782359,0.07964881256228853,0.42863575904079726,0.0006932298782875137,0.9999997511254761,0.42187703032413537,1.0,0.441162173431836,0.17397182272868808,0.20726878431124812,-0.038843954164965944,0.3525464826081626
Nmax,-0.4928610089201747,0.028999655038243033,0.5322103522797473,-0.4146021577468964,0.2556292488816108,0.7047752864472536,0.25459398923600135,0.6560936799132193,0.7035206301200007,0.48509488924407507,-0.06078992751301106,0.020636445633522054,-0.16868485076680784,0.559238610984514,0.8426826300754516,-0.05123988503155211,0.36094051404309846,0.004338035053052245,0.441165650102159,-0.013807141698860432,0.441162173431836,1.0,0.24837702100816933,0.28882436490059454,-0.01548230410180574,0.4298711657189402
Xmax,-0.09037755143798204,0.0035784196590352936,0.09883474354779921,0.07631383896226157,0.037515379728413845,0.23586653654942238,-0.26550463879822206,0.1438600899350919,0.24778533651968135,0.0815847628795642,0.4262163416744855,0.03783954518515391,-0.620328663529878,0.12653995187110972,0.14609867194042805,-0.07369574496817473,0.08090070903608312,-0.030057642353835793,0.17394846554984372,0.024665934895142544,0.17397182272868808,0.24837702100816933,1.0,0.031479373494894006,-0.11038836610800887,0.20599276497054442
eccentricity3D,-0.1307755919552921,0.09301510196309933,0.0803134916955443,-0.26508882149906543,0.46817127282120724,0.13713866492534696,0.16334091687188476,0.13394371299783117,0.12131925282150202,0.11944479200385164,-0.2890305846190158,-0.5993649480004333,0.12963892782648076,0.09804319455153071,0.2325152545265881,0.1833365435373984,0.5512530889108056,0.0019124507907708,0.20727033219769944,0.10931766628141665,0.20726878431124812,0.28882436490059454,0.031479373494894006,1.0,0.7452469262839984,0.04953216319946754
transverseRatio,0.05759914833477781,0.0619853338146062,-0.10886311579820485,-0.12387774512130338,0.4153882568058233,-0.1891547876098312,0.09454482093589058,-0.14343079446427962,-0.20621874383433592,-0.05807102666911219,-0.42696076368750824,-0.6892925716411396,0.3426997577415785,-0.11701770944242927,-0.09223359727625534,0.381683466303764,0.23840853267509848,0.0028767877819123227,-0.03884117798082483,0.10213712127522812,-0.038843954164965944,-0.01548230410180574,-0.11038836610800887,0.7452469262839984,1.0,-0.14744605806951103
nTrack,-0.00978396209044034,0.046007250687284645,-0.02186468625816459,-0.23650862227746938,0.4105668493961088,0.7291428490956477,0.12938301106318703,0.14316799413907355,0.691905694468621,-0.013629045943646589,0.15118953954585426,0.31268324246497364,-0.2842353622842737,-0.04709910972838351,0.37453969249741026,0.15515211805669918,0.45456910606639306,-0.001686458226772508,0.35254445500009784,0.046887793240351396,0.3525464826081626,0.4298711657189402,0.20599276497054442,0.04953216319946754,-0.14744605806951103,1.0
